version,specification,Task,failed_categories,passed_categories,anon_id
G2B,G2,B,"['CO', 'CO', 'CO', 'CO', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'EC', 'EC', 'IV', 'EC', 'CO', 'CO', 'CO']","['AI', 'AI', 'AI', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'CO', 'CO', 'EC', 'AI', 'EC', 'EC']",S0027
G2B,G2,B,"['CO', 'CO', 'CO', 'CO', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'EC', 'EC', 'IV', 'EC', 'CO', 'CO', 'CO']","['AI', 'AI', 'AI', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'CO', 'CO', 'EC', 'AI', 'EC', 'EC']",S0028
G2B,G2,B,"['AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'CO', 'AI', 'AI', 'EC', 'IV', 'CO', 'CO', 'EC', 'CO', 'CO']","['CO', 'CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'AI', 'CO', 'EC', 'EC']",S0029
G2B,G2,B,"['CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'CO', 'AI', 'AI', 'IV', 'CO', 'CO', 'EC']","['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'EC', 'AI', 'CO', 'CO', 'EC', 'EC', 'CO']",S0030
G2B,G2,B,"['AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'AI', 'AI', 'EC', 'IV', 'CO', 'CO', 'EC', 'CO', 'CO']","['CO', 'CO', 'CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'AI', 'CO', 'EC', 'EC']",S0031
G2B,G2,B,"['CO', 'CO', 'CO', 'CO', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'EC', 'EC', 'IV', 'EC', 'CO', 'CO', 'CO']","['AI', 'AI', 'AI', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'CO', 'CO', 'EC', 'AI', 'EC', 'EC']",S0032
G2B,G2,B,"['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'EC', 'EC', 'IV', 'EC', 'CO', 'CO', 'CO']","['AI', 'AI', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'CO', 'CO', 'EC', 'AI', 'EC', 'EC']",S0033
G2B,G2,B,"['CO', 'CO', 'CO', 'CO', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'EC', 'EC', 'IV', 'EC', 'CO', 'CO', 'CO']","['AI', 'AI', 'AI', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'CO', 'CO', 'EC', 'AI', 'EC', 'EC']",S0034
G2B,G2,B,"['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'EC', 'EC', 'IV', 'EC', 'CO', 'CO', 'CO']","['AI', 'AI', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'CO', 'CO', 'EC', 'AI', 'EC', 'EC']",S0035
G2B,G2,B,"['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'EC', 'EC', 'IV', 'EC', 'CO', 'CO', 'CO']","['AI', 'AI', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'CO', 'CO', 'EC', 'AI', 'EC', 'EC']",S0036
G2A,G2,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'CO', 'IV', 'IV', 'EC', 'CO', 'EC', 'AI', 'AI']","['EC', 'EC', 'EC', 'IV', 'CO', 'IV', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'AI', 'AI']",S0037
G2A,G2,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'IV', 'EC', 'CO', 'AI', 'EC', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'EC', 'AI', 'AI', 'AI', 'AI']",S0038
G2A,G2,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'IV', 'EC', 'CO', 'AI', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'EC', 'AI', 'AI', 'EC', 'AI', 'AI']",S0039
G2A,G2,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'EC', 'CO']","['EC', 'EC', 'AI', 'EC', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI', 'AI', 'AI']",S0040
G2A,G2,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'IV', 'EC', 'CO', 'AI', 'AI', 'EC', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'EC', 'AI', 'AI', 'AI']",S0041
G2A,G2,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'EC', 'CO', 'EC', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'AI', 'AI']",S0042
G2A,G2,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'IV', 'EC', 'CO', 'AI', 'EC', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'EC', 'AI', 'AI', 'AI', 'AI']",S0043
G2A,G2,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'EC', 'CO', 'EC', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'AI', 'AI']",S0044
G2A,G2,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'IV', 'IV', 'IV', 'EC', 'CO', 'AI', 'AI', 'AI']","['EC', 'EC', 'AI', 'EC', 'IV', 'CO', 'IV', 'CO', 'TB', 'EC', 'AI', 'AI', 'EC', 'AI', 'AI']",S0045
G2A,G2,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'IV', 'CO', 'IV', 'IV', 'IV', 'EC', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI']","['EC', 'EC', 'AI', 'EC', 'IV', 'CO', 'TB', 'EC', 'EC', 'AI', 'AI']",S0046
G2A,G2,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'CO', 'IV', 'CO', 'IV', 'IV', 'IV', 'EC', 'CO', 'AI', 'AI', 'AI']","['EC', 'EC', 'EC', 'TB', 'EC', 'AI', 'AI', 'EC', 'AI', 'AI']",S0047
G2A,G2,A,"['CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'EC', 'CO', 'AI', 'AI']","['CO', 'EC', 'EC', 'EC', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI']",S0048
G3A,G3,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'IV', 'IV', 'CO', 'IV', 'IV', 'EC', 'CO', 'AI', 'AI']","['EC', 'EC', 'EC', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI']",S0049
G3B,G3,B,"['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'EC', 'EC', 'IV', 'CO', 'CO', 'EC', 'EC', 'AI', 'CO', 'CO', 'EC', 'EC', 'CO']",[],S0050
G3B,G3,B,"['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'EC', 'EC', 'IV', 'EC', 'CO', 'CO', 'CO']","['AI', 'AI', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'CO', 'CO', 'EC', 'AI', 'EC', 'EC']",S0051
G3B,G3,B,"['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'AI', 'AI', 'EC', 'EC', 'IV', 'CO', 'EC', 'CO', 'CO', 'CO']","['AI', 'CO', 'CO', 'CO', 'CO', 'EC', 'AI', 'EC', 'EC']",S0052
G3A,G3,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'AI', 'CO', 'IV', 'IV', 'EC', 'CO', 'AI', 'AI']","['EC', 'EC', 'EC', 'IV', 'CO', 'IV', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI']",S0053
G3A,G3,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'IV', 'IV', 'EC', 'CO', 'AI']","['EC', 'EC', 'AI', 'EC', 'IV', 'CO', 'IV', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'EC', 'AI', 'AI', 'AI', 'AI']",S0054
G3A,G3,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'IV', 'IV', 'EC', 'CO']","['EC', 'EC', 'AI', 'EC', 'IV', 'CO', 'IV', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI', 'AI', 'AI']",S0055
G3A,G3,A,['CO'],"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'EC', 'EC', 'EC', 'AI', 'AI', 'EC', 'IV', 'CO', 'IV', 'CO', 'TB', 'IV', 'IV', 'IV', 'EC', 'EC', 'CO', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI', 'AI', 'AI']",S0056
G3A,G3,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'AI', 'IV', 'CO']","['EC', 'EC', 'EC', 'AI', 'EC', 'IV', 'CO', 'IV', 'CO', 'TB', 'IV', 'IV', 'EC', 'EC', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI', 'AI', 'AI']",S0057
G3A,G3,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'AI', 'IV', 'CO']","['EC', 'EC', 'EC', 'AI', 'EC', 'IV', 'CO', 'IV', 'CO', 'TB', 'IV', 'IV', 'EC', 'EC', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI', 'AI', 'AI']",S0058
G3A,G3,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'IV', 'IV', 'EC', 'CO']","['EC', 'EC', 'AI', 'EC', 'IV', 'CO', 'IV', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI', 'AI', 'AI']",S0059
G3A,G3,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'AI', 'IV', 'CO']","['EC', 'EC', 'EC', 'AI', 'EC', 'IV', 'CO', 'IV', 'CO', 'TB', 'IV', 'IV', 'EC', 'EC', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI', 'AI', 'AI']",S0060
G3A,G3,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'IV', 'IV', 'EC', 'CO']","['EC', 'EC', 'AI', 'EC', 'IV', 'CO', 'IV', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI', 'AI', 'AI']",S0061
G3A,G3,A,"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'CO', 'EC', 'AI', 'IV', 'IV', 'EC', 'CO']","['EC', 'EC', 'AI', 'EC', 'IV', 'CO', 'IV', 'CO', 'TB', 'IV', 'EC', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI', 'AI', 'AI']",S0062
G3A,G3,A,[],"['CO', 'CO', 'CO', 'CO', 'CO', 'EC', 'EC', 'EC', 'CO', 'EC', 'EC', 'AI', 'AI', 'EC', 'IV', 'CO', 'IV', 'CO', 'TB', 'IV', 'IV', 'IV', 'EC', 'EC', 'CO', 'AI', 'AI', 'AI', 'EC', 'AI', 'AI', 'AI', 'AI']",S0063
G3B,G3,B,"['EC', 'CO', 'CO']","['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'EC', 'IV', 'CO', 'CO', 'EC', 'EC', 'AI', 'CO', 'EC', 'EC']",S0064
G3B,G3,B,"['EC', 'CO', 'CO']","['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'EC', 'IV', 'CO', 'CO', 'EC', 'EC', 'AI', 'CO', 'EC', 'EC']",S0065
G3B,G3,B,"['CO', 'AI', 'AI', 'AI', 'IV', 'CO', 'EC', 'CO', 'CO']","['CO', 'CO', 'CO', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'CO', 'AI', 'AI', 'CO', 'CO', 'EC', 'IV', 'CO', 'CO', 'EC', 'EC', 'AI', 'CO', 'EC', 'EC']",S0066
G3B,G3,B,"['EC', 'CO', 'CO']","['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'EC', 'IV', 'CO', 'CO', 'EC', 'EC', 'AI', 'CO', 'EC', 'EC']",S0067
G3B,G3,B,"['CO', 'AI', 'AI', 'AI', 'IV', 'CO', 'EC', 'CO', 'CO']","['CO', 'CO', 'CO', 'CO', 'AI', 'AI', 'AI', 'IV', 'IV', 'CO', 'AI', 'AI', 'CO', 'CO', 'EC', 'IV', 'CO', 'CO', 'EC', 'EC', 'AI', 'CO', 'EC', 'EC']",S0068
G3B,G3,B,"['EC', 'CO', 'CO']","['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'EC', 'IV', 'CO', 'CO', 'EC', 'EC', 'AI', 'CO', 'EC', 'EC']",S0069
G3B,G3,B,"['EC', 'CO', 'CO']","['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'EC', 'IV', 'CO', 'CO', 'EC', 'EC', 'AI', 'CO', 'EC', 'EC']",S0070
G3B,G3,B,"['EC', 'CO', 'CO']","['CO', 'CO', 'CO', 'CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'IV', 'IV', 'CO', 'CO', 'AI', 'AI', 'CO', 'CO', 'EC', 'IV', 'CO', 'CO', 'EC', 'EC', 'AI', 'CO', 'EC', 'EC']",S0071
G3B,G3,B,"['CO', 'AI', 'CO', 'AI', 'AI', 'AI', 'AI', 'AI', 'IV', 'CO', 'AI', 'AI', 'EC', 'CO', 'CO', 'EC', 'CO', 'CO']","['CO', 'CO', 'CO', 'IV', 'IV', 'CO', 'CO', 'CO', 'EC', 'IV', 'EC', 'AI', 'CO', 'EC', 'EC']",S0072
